source,target,type
sedan-model,engine-system,contains
sedan-model,transmission-system,contains
sedan-model,chassis-system,contains
sedan-model,interior-system,contains
sedan-model,wheel-system,contains
sedan-model,brake-system,contains
sedan-model,electrical-system,contains
sedan-model,suspension-system,contains
engine-system,engine-block,contains
engine-system,pistons,contains
engine-system,fuel-injection,contains
engine-system,electric-motor,contains
transmission-system,cvt-belt,contains
transmission-system,torque-converter,contains
interior-system,dashboard,contains
interior-system,seats,contains
interior-system,infotainment,contains
wheel-system,rims,contains
wheel-system,tires,contains
electrical-system,battery,contains
electrical-system,infotainment,connects_to
engine-system,electrical-system,depends_on
engine-system,transmission-system,connects_to
transmission-system,wheel-system,transfers_power_to
brake-system,wheel-system,acts_on
suspension-system,wheel-system,supports
suspension-system,chassis-system,attaches_to
engine-system,engine-specifications,documented_by
sedan-model,safety-standards,complies_with
sedan-model,maintenance-guide,documented_by
chief-engineer,sedan-model,oversees
engine-engineer,engine-system,designs
electrical-engineer,electrical-system,designs
electrical-engineer,battery,designs
interior-designer,interior-system,designs
manufacturing-plant,sedan-model,manufactures
engine-engineer,electrical-engineer,collaborates_with
electrical-engineer,interior-designer,collaborates_with
chief-engineer,engine-engineer,supervises
chief-engineer,electrical-engineer,supervises
chief-engineer,interior-designer,supervises
engine-system,camshaft,contains
engine-system,valves,contains
engine-system,crankshaft,contains
sedan-model,cooling-system,contains
cooling-system,radiator,contains
cooling-system,water-pump,contains
cooling-system,engine-system,cools
sedan-model,hvac-system,contains
hvac-system,ac-compressor,contains
hvac-system,heater-core,contains
hvac-system,electrical-system,depends_on
sedan-model,exhaust-system,contains
exhaust-system,catalytic-converter,contains
exhaust-system,muffler,contains
exhaust-system,engine-system,connects_to
sedan-model,airbag-system,contains
sedan-model,seatbelt-system,contains
airbag-system,electrical-system,depends_on
seatbelt-system,electrical-system,depends_on
hvac-system,hvac-specifications,documented_by
exhaust-system,exhaust-specifications,documented_by
hvac-engineer,hvac-system,designs
safety-engineer,airbag-system,designs
safety-engineer,seatbelt-system,designs
quality-manager,sedan-model,oversees_quality
hvac-engineer,electrical-engineer,collaborates_with
safety-engineer,electrical-engineer,collaborates_with
quality-manager,chief-engineer,reports_to
chief-engineer,hvac-engineer,supervises
chief-engineer,safety-engineer,supervises
hvac-system,cooling-system,interacts_with
engine-system,exhaust-system,outputs_to
cooling-system,electrical-system,depends_on